source,country,lang,date,categories,wtp_signals,platform_sentiment,engagement,segment_hints,text_preview,url
appstore,korea,en,2021-05-28,,,0.00,0,,English version??,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2021-05-05,phone_connectivity,,0.00,13,,"i was used a Kakaobank for ios but its not works that why i return to android. Appstore apps are not works for a kakao mini card, and even the +3 apps too. Because, card was declined for it. thats why i back with a android Edit) why not to use without phone number and usim? some apps are required ph",https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2021-05-02,,,0.00,11,,I can't change to English version,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2021-04-11,,,0.00,2,,Non-koreans can't create an account.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2021-04-09,,,0.00,1,,Foreigners still not allowed to make acct,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2021-02-03,,,1.00,4,,So much better than shinhan or other traditional banks in Korea,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2021-01-25,housing,,0.00,27,,this app is awful even though there are so many places saying foreigners can now use kakao bank it refuses to let me set it up .PLEASE BE CONSISTENT WITH POLICIES,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2021-01-10,,,0.00,3,,이게 진짜 아쉬운건 하나만 있어요ㅠㅠㅠ 외국인들이 왜 불가능하는거죠? 말이 안되잖아요. 이건 빨리 고쳤으면 넘 좋겠어요,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2021-01-05,community,,0.00,7,,why can't Korea ever make anything foreigner friendly.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2020-11-26,,,0.00,5,,Unfortunately can't open an account because I am not a Korean citizen.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2020-11-21,,,0.00,0,,Wasting time,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2020-10-10,,,0.00,4,,Doesn't work for foreign nationals. Ha.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2020-09-17,,,1.00,0,,So convenient and very good,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2020-09-02,,,0.00,17,,Im disappointed because we foreigners who are working in South Korea at not accessible or allowed to apply for Kakao Bank. IM SO VERY DISAPPOINTED!!,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2020-08-12,,,0.00,3,,foreigners cannot open an account.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2020-08-08,,,0.00,0,,안녕하세요 한국 살고 있는 외국인이라도 아예 안 되나요???,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2020-06-28,,,0.00,0,,Not for foreigners,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2020-06-23,,,0.00,7,,Must live in Korea and used Korean telecommunication,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2020-06-17,,,0.00,34,,There are tons of apps only for native Koreans. And foreigners can't use them. KakaoBank is also one of them. 👎👎👎,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2020-06-07,,,0.00,4,,Allow foreigners!,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2020-06-03,language,,0.00,5,,No English version,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2020-05-25,visa|banking|language|discrimination|phone_connectivity,,0.00,0,,"한국에 10년 넘게 살고 한국어도 되고 영주권이랑 외국인등록증, 본인 인증 가능한 한국 유심카드도 다 있는데도 한국국적이 아니라고 카카오뱅크 사용할 수 없대. 도대체 왜? 한국에 다른 은행 다 되는데 카카오뱅크는 뭐가 문제냐? 순수 국적 차별 아닌가??",https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2020-05-21,,,0.00,1,,왜 외국인들은 여전히 이것을 사용할 수 없어요? 실망했습니다!,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2020-05-08,,,0.00,26,,Why don't they state in their app description that this account is only open to South Korean citizens.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2020-04-27,,,1.00,0,,Excellent and very convinient,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2020-04-10,,,1.00,0,,Awesome but not for foreigners,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2020-04-02,,,0.00,7,,This bank disallows foreigners who are residents of South Korea to use its services. Do not download this service if you are not a Korean citizen.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2020-03-29,,,0.50,1,,Is there an english option for this app?,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2020-03-24,banking,,0.00,40,,"There are many people working, being educated, and investing in Korea. There are very great English speakers here. Even developing countries have English versions of banking applications..",https://play.google.com/store/apps/details?id=com.kakaobank.channel
