source,country,lang,date,categories,wtp_signals,platform_sentiment,engagement,segment_hints,text_preview,url
appstore,korea,en,2025-09-06,,,0.00,1,,"Worst app ever. What kind of fun is this? I tried minimum 20 times, but I can't log in...",https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,en,2025-08-28,housing|bureaucracy,,0.00,2,,"Absolute nightmare to navigate and even after entering information 5 different ways, it still won't let me complete this mandatory survey. Bureaucratic he'll hellscape.",https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,en,2025-08-18,discrimination,,0.00,1,,Worst app Ever ( A nightmare for foreigners as you can't translate anything),https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,en,2025-08-01,,,0.75,1,,"so far, so good",https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,en,2025-04-11,housing,,0.00,0,,"This app is cloned, please remove all devices from this app.",https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,en,2024-09-04,,,1.00,1,,Great! It saved a lot of time. So convenient. 😊 Thanks!,https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,ko,2024-06-29,bureaucracy,,0.00,1,,"정부와 공무원들이 늘 그렇듯이 상당히 병x같은 시스템. 중국 보이스피싱들에겐 한없이 자애로우면서 본국민들은 엄격하게 사용할 수 없도록 만든 제도. 무슨 전과기록도 아니고 거의 30년전 갔다 온 군대 때문에 이 거지같은 앱을 깔아서 병적기록증명서를 발급받아야 하는것도 한심한데, 재외국민들은 아예 계정 만드는 것이 불가능에 가깝고, 공인인증 받으려면 한국 전화번호를 입력하라니, 어떻게 하면 이런 멍청한 시스템을 만들고 월급을 받는지 기가차서 말도 안나옴. 외국 전화번호를 사용 하려고 하면 뭐가 어쩌고 저쩌고 해서 인증이 안된다고만 함.",https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,en,2024-05-01,,,0.25,0,,I fire police chief Heegeun Yoon for alleged murder attempt.,https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,en,2024-04-07,,,0.00,8,,"Counter-intuitive, clanky, absolute waste of time.",https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,en,2023-08-20,,,0.00,0,,One of the worst apps ever.,https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,en,2023-07-25,,,0.00,1,,WORST APP EVER IT BLOODY DOESN'T WORK,https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,en,2023-05-18,,,0.00,4,,worst app ever!!! A shame! And still unable to log in !,https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,en,2023-03-06,bureaucracy,,0.00,3,,"Application is useless, not much easy to print and use the documents... really irritating",https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,en,2023-02-10,,,0.25,0,,Won't even install.,https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,en,2022-11-10,,,0.00,3,,Simply fails to work,https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,en,2022-09-15,,,0.00,5,,This app cannot do anything Even the icon is default icon for android,https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,en,2022-09-14,,,0.00,0,,Why I can not login? useless app,https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,en,2022-04-18,,,0.00,2,,dunno why always failure for confirmation ID,https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,en,2021-12-28,housing,,0.00,14,,Currently an extremely useless app ... and it will remain so unless & until the glitches are resolved.,https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,ko,2020-11-03,banking|bureaucracy,,0.00,6,,만든 의도는 좋았으나 제대로 사용 할 수가 없다면 의미가 없겠죠...? 공인인증서를 발급 받아서 등초본을 발급 받을려고 했는데 입력한 민증번호랑 인증서 상의 민증 번호가 틀다느니 본인인증에 실패 뭐 이런식으로 민원신청이 전혀 안되 더라구요. 여권 조회 동의로 본인 인증을 마치고도 본이인증 실패로 뜨더라구요.......그리고 한국에서 살고 있지 않은데 한국 주소랑 전화번호 만 입력 가능 하더라구요. 저 처럼 외국에서 잠시 거주 중인 사람들은 도움 요청도 거의 불가능 하게 만들었네요....,https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,ko,2019-01-10,,,0.00,1,,해외에서 체류중인데 로그인 관련해서 문의 하고 싶은데 이메일이나 해외에서 전화가능한 번호 없나요 ??? 보통 이메일 정도는 다 기재되어있던데 여긴없네요....,https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,en,2018-06-22,,,0.00,3,,REQUIRES RUBBISH APPICATION PROGRAMME FOR SECURITY TO CHECK EVEN VERY  TRIVIAL THINGS SO THAT COULDN'T ACCESS THRU MOBILE. BULLSHXT AS SAME AS  ACTIVE-X.,https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,en,2018-01-21,bureaucracy,,0.00,4,,"Doesn't allow for printing through mobile, and the PC version of this website supports only windows, but on print time it throws a non-legible error. Accessing government documents in South Korea is a frustrating experience, and there is no way to audit their required downloads come from a legitimat",https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,en,2015-10-12,,,0.00,2,,There is nothing useful public web sites in Korea.,https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,en,2015-06-30,,,1.00,1,,Easy to use and quick to find info. Good enough for me,https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,en,2014-06-14,,,0.75,0,,convenient,https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,ko,2025-08-25,,,0.00,0,,외국인들을 신청이 안되네,https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,en,2024-06-25,,,1.00,0,,It.s difficult.,https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,en,2024-04-04,,,0.00,0,,"pub:Lotteshopping Co., ltd",https://play.google.com/store/apps/details?id=kr.go.minwon.m
appstore,korea,ko,2026-03-10,language,,0.00,0,,외국인에게 보험금을 내라고 강요합니다. 하지만 앱에는 영어가 없습니다. 스크린샷이나 동그라미를 쳐서 검색하려고 하면 앱이 스크린샷을 찍는 것을 차단합니다. 결국 한국어를 ʼ 몰라도 어떻게 이해할 수 있을까요,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2026-02-14,language,,0.00,2,,there is neither an inbuilt English language translation nor can we screenshot to translate from other apps. how can a foreigner understand and use it?,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2025-11-04,language,,0.00,0,,Difficult for foreigners to use. There isn't any language option.,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2025-08-07,,,0.00,1,,"Another pos Korean which requires access to ALL your phone data: photos, music, audio recordings, sms",https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2025-08-02,language,,0.00,1,,what can people only know english do with this app? Even screen translation is impossible.,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2025-06-24,,,0.50,1,,Why does app need access to music and pictures?,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2025-05-30,language|discrimination,,0.00,11,,the worst app I have ever used ! as a foreigner there is no option to change language and even can't take screenshots to translate. the app which is made only for Koreans not for foreigners ! before coming to Korea I thought that developing countries have a lot of options for foreigners but now I re,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2025-03-17,language,,0.00,3,,"worst website I've ever seen, there is no English Option on the app, and to add insult they won't let you translate the app or even screenshot the app.",https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2024-11-21,,,0.00,1,,Can't open the app.,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2024-11-18,language,,0.00,2,,No english and can't take a screen shot to translate.,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2024-06-15,,,0.00,1,"{""role"": ""student""}","As a international student this one was a headache to deal with, couldn't take screenshots shots to translate and not even a option to switch language",https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2024-05-05,,,0.00,3,,Requires V3 spy ware to work... Just use the website. Much easier to use,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2024-02-19,,,0.00,5,,Why does the app request Music and Audio and Photos and Videos permissions on startup and won't let the user in without these permissions?,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2024-01-24,language,,0.00,0,,ADD ENGLISH LANGUAGE! WE FOREIGNERS ALSO HAVE TO PAY INSURANCE!!! WHY DON'T YOU MAKE CONVENIENCE FOR FOREIGNERS????,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2023-12-17,language,,0.00,13,,Not available in English. Can't screenshot or copy text to translate on external apps. Doesn't even show health check results.,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,ko,2023-10-19,language,,0.00,5,,Just have a English language option dammit. So frustrating. 영어 옵션을 선택해주세요. 도라이,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2023-07-21,,,0.00,2,,If I could give a no stars then I definitely would,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2023-07-17,,,1.00,6,,Is it possible to pay insurance through app. If yes how?,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2023-04-03,,,0.25,2,,Why would it need access to photos and medias on my phone?,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2023-02-28,language,,0.00,1,,No english but foreigners must use,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2022-12-01,housing|healthcare|language,,0.50,4,,Why there's no the English language? National Health Insurance is mandatory for foreigners now too. So why no any opportunities for foreigners to understand the app. Please add the language please,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2022-11-19,,,0.00,1,,There is no option to select another language.,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2022-10-28,,,0.00,0,,Trash bin.,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2022-08-23,language,,0.00,2,,I need to pay and I want to use this App but there is no English language.,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2022-03-28,language,,0.00,1,,App is not in English,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2022-02-01,language,,0.00,11,,"Probably one of the worst apps for Foreigners, but it cannot beat the bank apps in the bad interface. Best of it is the support that replies only in Korean... which many of us don't understand. 🙄🤦🏻‍♂️🤷🏻‍♂️",https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2022-01-24,discrimination,,0.00,47,,This is the most difficult app I've ever tired to use. I want to view my bill and pay it online. There's no reason why it should be so hatd to do a simple task. That's the only reason someone would want an app for insurance. Especially since foreigners can't use any of the other things on this app. ,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2021-11-10,,,0.00,36,"{""role"": ""translator""}","Is ok that the app isn't in english and I agree we should adapt. But at least let us take screenshot so we can use external translator. Really, a person can use another phone to take picture of the app, so the security measure of not letting taking screenshot makes no sense.",https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2021-10-07,language,,0.00,5,,No english content.,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,ko,2021-10-06,,,0.00,2,,"외국인한테 하나도 도우미 안돼고,아무거나 할 수 없다",https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2021-08-12,healthcare,,0.00,12,,"This app has great features for Korean speakers. However, as a foreign resident I have noticed that my entire health history and treatment hasn't been recorded on the NHIS system. I can only see my previous employers, and proof of my enrollment.",https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2021-05-27,,,0.00,7,,If it's mandatory there should be at least English. I've never seen such hostility towards foreigners.,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2021-05-01,language|community,,1.00,10,,Long queue in call and no english is the provided in app also website was not really helpful. But once your call is received its so fast in service and solve your problems immediately. Sounds friendly helpful,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2021-04-17,community,,0.00,5,,"Zero foreigner friendly ,you've better to visit office unless you need to install thousand app just for pay",https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2021-03-31,housing|language,,0.00,5,,Please add English and,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2021-03-30,language,,0.00,5,,Why the hell is it in korean??? If you're recommending it to international students then plz add english too..,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2021-03-17,,,0.00,9,,"When you make something mandatory for foreigners, at least add some English contents to it",https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2021-03-17,language|bureaucracy,,0.00,41,,There is no English option for foreign students. Even if it is just rudimentary English it will help a lot. You can also consider auxillary or supplementary documents as a visual guide.,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2021-03-16,,,0.00,23,,"I got this recommend as an international studend, but the application is Korean only and it requires me to install extra unnecessary antivirus software which would just needlessly slow down my phone. That's where I stopped. Whoever designed this app clearly has now idea what he's doing.",https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2021-03-09,language,,0.00,12,,Why no english? Mandatory for foreigner but no english. Very disappointed.,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2021-03-08,language,,0.00,19,,Why Only korean language is used? There should be an option of international language also or atleast English.,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2021-03-08,housing|language,,0.25,3,,"Please, add English in it",https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,ko,2021-03-04,language,,0.00,2,,INCLUDE AN ENGLISH OPTION. 외국인이 이 앱을 써야되는데 영어로 나오지않으면 어떻게 써???? 진짜 영어 option 좀 넣어주세요 진짜 하 짜증나,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2019-12-04,language,,0.00,7,,Its all in korean,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2019-05-16,,,0.00,20,,International language should also be included.,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2019-03-02,,,0.00,8,,Used to work before. Not working anymore. Says it encountered a security-related error.,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2017-03-21,,,0.00,3,,Won't even start. Crashes on launch.,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,ko,2026-01-03,banking|healthcare,,0.25,0,,환급금이 발생했습니다. 환급신청 하려는데 계좌확인에서 멈춰습니다. 외국인 이라서 .은행예금주 이름은 영문명이고 건강보험에는 한글명입니다 ..ㅠㅠㅠ,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2025-05-02,,,0.75,0,,Not too bad,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,zh,2024-09-05,,,0.00,0,,吾自酆都山下来，朱砂头发拂天开。 北帝勑收无道鬼，指挥兵将运风雷。 雄威猛将奔云去，犯律邪魔急捉来。 五帝大魔兵九亿，呼风啸雨起阴雷。 天地人前皆黑暗，天罗地网布周回。 我有紫微玄籍在，书功录过灭凶灾。 急急如北阴玄天酆都大帝律令敕,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2024-08-19,,,0.75,0,,XOXO 8th 8th tg,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2024-07-26,,,0.00,0,,Kann . CNN M.o8.f,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,other,2024-07-13,,,1.00,0,,🩰🗄🎥📼🔋(^_^),https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,other,2024-07-12,,,0.75,1,,दइऊअडझंउइउघ्इईउऔउ,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,ko,2024-07-04,visa|healthcare,,0.00,14,,앱 참 못만든다. 건강검진받으라고 문자와서 링크 찍고갔더니 검진하는데 찾는 링크 거길 하나씩 다 클릭 한 5개쯤. 그랬더니 찾는데가 없데 모두 리셋 또 다시클릭 이거 찾아보려고 한 20번클릭. 결국 건보앱설치하래. 공무원들 하는게 그렇지뭐. 이럴거면 뭐하러 정보 엄청가져가고 무슨 동의서 엄청 사인하고 뭐깔고깔고 엄청하고 이상한짓 다했냐? 문자보낼때 이미 내정보아는거 아니냐? 첨부터 링크누르면 앱띄우고 로그인하고 내정보에 주소든 회사든 위치 딱 나오게해서 암종류별 검진가능한 병원 검색해서 리스트 까지 나와야지. 이게 기본이지. 그 다,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2024-05-23,,,0.50,0,,Cc number nx3,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2023-12-10,,,0.25,0,,P. H. N P N o,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,other,2023-10-15,,,1.00,0,,कोई आ एक भारत,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,other,2023-09-03,,,0.25,0,,890×009 45ᆞ5555,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2023-07-12,,,0.75,0,,e Flow Y II Mj j,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2022-06-19,,,0.00,0,,EExw2 23 waf,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2022-04-19,,,1.00,0,,Good Excellent,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,ko,2022-03-21,banking|healthcare|phone_connectivity,,0.00,9,,"현재 건강보험에 가입되어 있는 외국인들의 이름이 전부 다 한글로 표기되어 있던데, 외국인들의 한글 이름을 국내거소신고증 상의 영어 이름으로 변경해주시길 바랍니다. 아직까지 외국인의 핸드폰, 통장, 아이핀 및 범인공동인증서 상의 이름이 영어 이름으로 표기되어 있는게 대부분인데 왜 건강보험공단만 한글로 표기하는지 이해가 안 되네요. 그것 때문에 핸드폰으로 인증을 하거나 계좌번호 등록할 때 이름이 일치하지가 않아서 너무 불편합니다.",https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2022-03-03,,,1.00,0,,Good health!,https://play.google.com/store/apps/details?id=kr.or.nhic
appstore,korea,en,2025-06-02,community,,0.00,0,,User unfriendly. Great job,https://play.google.com/store/apps/details?id=kr.go.nts.android
appstore,korea,en,2025-01-04,,,1.00,0,,Very good app,https://play.google.com/store/apps/details?id=kr.go.nts.android
appstore,korea,en,2023-05-09,tax|housing|language,,0.00,27,,Can we please have an English option? Filing taxes is extremely stressful in Korea and it's important for foreigners to also have access to this application without the language barrier.,https://play.google.com/store/apps/details?id=kr.go.nts.android
appstore,korea,en,2023-03-08,,,1.00,0,,perfect application,https://play.google.com/store/apps/details?id=kr.go.nts.android
appstore,korea,en,2023-01-17,,,0.00,0,,This app is not useful.,https://play.google.com/store/apps/details?id=kr.go.nts.android
appstore,korea,en,2022-01-30,language,,0.00,2,,English version??? Hello?,https://play.google.com/store/apps/details?id=kr.go.nts.android
appstore,korea,en,2021-11-01,,,0.50,10,,"As kpop fanboy, we found this app in coupang eat registered,don't know how to use but looks amazing",https://play.google.com/store/apps/details?id=kr.go.nts.android
appstore,korea,en,2021-09-11,,,0.00,16,,Amazing program that never crashes and is incredibly easy to use for foreigners. Truly almost as comfortable as peeling off your nails with a rusty screwdriver.,https://play.google.com/store/apps/details?id=kr.go.nts.android
appstore,korea,en,2021-05-19,language,,0.00,84,,"as the application seems to be very important for foreigners in korea as well, there should have been english language selection. I wonder why korean important apps never jave language selection option if they are for use of foreigners as well.",https://play.google.com/store/apps/details?id=kr.go.nts.android
appstore,korea,en,2021-04-14,,,0.75,0,,It is good app,https://play.google.com/store/apps/details?id=kr.go.nts.android
appstore,korea,en,2021-02-26,tax,,0.75,2,,Very good tax manage app,https://play.google.com/store/apps/details?id=kr.go.nts.android
appstore,korea,en,2021-02-10,,,0.00,1,,Today i can open tomorrow i cannot,https://play.google.com/store/apps/details?id=kr.go.nts.android
appstore,korea,en,2021-01-25,,,0.00,9,,No way to retrieve your password if you forget it.,https://play.google.com/store/apps/details?id=kr.go.nts.android
appstore,korea,en,2021-01-21,,,1.00,0,,very good.,https://play.google.com/store/apps/details?id=kr.go.nts.android
appstore,korea,en,2021-01-20,tax,,0.75,0,,How to add spouse to my tax?,https://play.google.com/store/apps/details?id=kr.go.nts.android
appstore,korea,en,2021-01-20,language,,0.00,5,,No english...no usefulness,https://play.google.com/store/apps/details?id=kr.go.nts.android
appstore,korea,en,2021-01-04,language,,0.25,14,,"Confusing, no english",https://play.google.com/store/apps/details?id=kr.go.nts.android
appstore,korea,en,2021-01-01,,,0.00,18,,Stupid application. No or slow responses.,https://play.google.com/store/apps/details?id=kr.go.nts.android
appstore,korea,en,2020-05-04,,,1.00,5,,"You are doing great job now, Moon invincible!!!",https://play.google.com/store/apps/details?id=kr.go.nts.android
appstore,korea,en,2020-04-03,language,,0.25,9,,We need in english language,https://play.google.com/store/apps/details?id=kr.go.nts.android
appstore,korea,en,2020-02-13,tax,,1.00,2,,for taxpayers,https://play.google.com/store/apps/details?id=kr.go.nts.android
